Your initials,Title of document,Publisher,Major authors,Literature type,Document type,Date of publication,Source reliability,Saved into Mendeley?,Country,Category,Saiga species ,Start date,End date,Evidence relevance,Evidence reliability,Relative combined ISR score ,Trade legality ,Trade routes listed (use numbers),"Evidence of importer (use numbers, separated by a comma)","Evidence of exporter (use numbers, separated by a comma)",Type of product traded ,Mode of transportation to final destination,"Origins of product (e.g. captive bred, wild caught etc)",Reason for trade (code specified e.g. seized or confiscated?),"Evidence of stockpile management, or lack of stockpile management strategy ",Seizure information ,Hunter demography,Number of hunters,Supply-side market structure,Evidence for response to market sensitivity,National market size,International market size,Places of hunting,Parts of saiga hunted,Saiga conservation perceptions,Saiga trade perceptions,Reasons for hunting,Pattern of hunting within/across years,Method of hunting/raw product acquisition,Supply-side trade hotspots,Supply-side prices for products,Supply-end trade routes,Strength and/or presence of law enforcement initiatives,Ability/likelihood for hunters to evade law enforcement,Supply-end stockpile estimates or assessments,Approach to substitutes,Intermediary demography,Does this suggest that the intermediary and the poacher/hunter are the same people/person?,Number of intermediaries,Evidence for intermediary response to market sensitivity,Intermediary places of operation,Intermediary activities/specifics,Intermediary saiga trade perceptions,Intermediary reasons for participating,Intermediary pattern of activity,Intermediary trading hotspots/routes,Prices paid to/by intermediaries for products,Intermediary ability to evade law enforcement,Intermediary-directed strength and/or presence of law enforcement,Intermediary stockpile assessments,Vending format (in-person/online),Vendor quantities sold,Vendor evidence of response to market sensitivity,Vendor product type sold,Vendor demography,Does this suggest that the vendor and the poacher are the same people/person?,Number of vendors,Vendor perceptions on saiga and trade,Reasons for partaking as a vendor,Pattern of vendor activity within/across years,Vendor trading hotspots/routes,Prices paid to/by vendors for products,Vendor ability to evade law enforcement,Vendor-directed strength and presence of law enforcement,Vendor stockpile assessments/estimates,Vendor approach to substitutes,End-consumer demography,Does this suggest that the consumer and the poacher are the same people/person?,Types of product consumed,Consumer purchasing habits (inc. in-person/online),Evidence of consumer demand influencing markets,Number/proportion of consumers,Consumer places of purchase (specific),Consumer places of purchase (generic),Consumer perception on saiga conservation,Consumer perceptions on saiga trade,Reasons for consuming,Pattern and/or frequency of consumer activity,Prices paid for products by consumers,Consumer ability to evade law enforcement,Consumer strength and presence of law enforcement initiatives,Consumer stockpile information,End-market size,End-market trade routes/hotspots,Consumer approaches to substitutes,Consumer evidence of response to market sensitivity
REA,SCA Project Summaries ,Saiga Conservation Alliance,Anon,P,21,2024,3,TRUE,Uzbekistan ,NA,S. tatarica,2020,2023,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REA,SCA Project Summaries ,Saiga Conservation Alliance,Anon,P,21,2024,3,TRUE,Uzbekistan,NA,S. tatarica,2021,2024,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REA,SCA Project Summaries ,Saiga Conservation Alliance,Anon,P,21,2024,3,TRUE,Uzbekistan,NA,S. tatarica,2021,2026,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REA,FY 2022 Summary of Projects - Saiga Antelope ,United States Fish and Wildlife Service,Anon,P,21,2022,3,TRUE,Uzbekistan  ,NA,S. tatarica,2023,2026,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REA,FY 2022 Summary of Projects - Saiga Antelope ,United States Fish and Wildlife Service,Anon,P,21,2022,3,TRUE,Kazakhstan ,NA,S. tatarica,2023,2026,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REA,FY 2022 Summary of Projects - Saiga Antelope ,United States Fish and Wildlife Service,Anon,P,21,2022,3,TRUE,Singapore,NA,S. tatarica,2023,2027,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
REA,FY 2022 Summary of Projects - Saiga Antelope ,United States Fish and Wildlife Service,Anon,P,21,2022,3,TRUE,Japan,NA,S. tatarica,2023,2027,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
REA,FY 2022 Summary of Projects - Saiga Antelope ,United States Fish and Wildlife Service,Anon,P,21,2022,3,TRUE,Mongolia ,NA,S. tatarica,2023,2026,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
REA,FY 2022 Summary of Projects - Saiga Antelope ,United States Fish and Wildlife Service,Anon,P,21,2022,3,TRUE,Malaysia ,NA,S. tatarica,2023,2026,3,3,1,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
REA,FY 2022 Summary of Projects - Saiga Antelope ,United States Fish and Wildlife Service,Anon,P,21,2022,3,TRUE,China,NA,S. tatarica,2023,2025,3,3,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
